region_5,rice_type,group,group_label,road_classes,radius_px,requested_buffer_m,effective_radius_m_approx,total_rice_area_acres,road_proximity_rice_area_acres,exposure_proportion
Central,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,2742084.441175058,13346.653310658894,0.004867338551011029
Central,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,2742084.441175058,92644.52507880169,0.03378616781002593
Central,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,2742084.441175058,460587.6716522747,0.1679699081239454
East,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,1254800.0664811623,8820.563982045824,0.007029457694229602
East,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,1254800.0664811623,44044.71009462565,0.03510097845160329
East,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,1254800.0664811623,187996.24596012844,0.14982167357332596
National,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,23407672.858909875,93157.99115832312,0.0039798057551399665
National,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,23407672.858909875,615761.2875695691,0.026305959216069028
National,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,23407672.858909875,2761432.0056648226,0.11797123201052061
North,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,5684593.253343785,18351.980646883636,0.003228371816416004
North,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,5684593.253343785,136520.72308856848,0.024015917587113984
North,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,5684593.253343785,599081.7576946361,0.10538691705730131
Northeast,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,12893606.461035952,43644.74556965569,0.003384991290183135
Northeast,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,12893606.461035952,294635.5479612708,0.02285129058744344
Northeast,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,12893606.461035952,1347636.5264992958,0.10451975020114103
South,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,823810.6357302609,8928.498588134546,0.010838047241548349
South,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,823810.6357302609,47260.59611199586,0.057368276230255325
South,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,823810.6357302609,164453.27892589066,0.1996250980422367
Central,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,2742084.441175058,21965.139947620493,0.008010380576831483
Central,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,2742084.441175058,151392.22547229694,0.055210635821054885
Central,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,2742084.441175058,691246.6473415467,0.2520880236078101
East,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,1254800.0664811623,13526.850974004074,0.010780084680691356
East,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,1254800.0664811623,68366.31997026695,0.054483835151512804
East,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,1254800.0664811623,274874.0722416916,0.21905806318015372
National,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,23407672.858909875,149574.02499308076,0.006389957083501663
National,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,23407672.858909875,984296.3082144244,0.04205015655111408
National,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,23407672.858909875,4125876.160670064,0.17626169784321788
North,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,5684593.253343785,30456.97519511151,0.005357810812092166
North,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,5684593.253343785,221950.4597925505,0.03904421123921137
North,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,5684593.253343785,904602.4100716854,0.1591323019531048
Northeast,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,12893606.461035952,70347.79874393581,0.005456021862969411
Northeast,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,12893606.461035952,470590.40312490554,0.03649796544876827
